date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:41	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5bdc54cf6c140%22	http://agiletemplate.herokuapp.com/robots.txt		(from )
09:43:41	406/406	---MC-	302	error ('Found')	text/html	date:Thu,%2029%20Apr%202021%2016:43:42%20GMT	http://agiletemplate.herokuapp.com/	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/index.html	(from )
09:43:42	9618/9618	---MC-	200	added ('OK')	text/html	date:Thu,%2029%20Apr%202021%2016:43:43%20GMT	http://agiletemplate.herokuapp.com/login	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/login.html	(from http://agiletemplate.herokuapp.com/)
09:43:44	168454/168454	---M--	200	added ('OK')	text/css	etag:%2229206-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/css/bootstrap.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/css/bootstrap.css	(from http://agiletemplate.herokuapp.com/login)
09:43:46	89729/89729	---M--	200	added ('OK')	text/css	etag:%2215e81-5bdc54cf6c140%22	http://agiletemplate.herokuapp.com/assets/line-awesome/css/line-awesome.min.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/line-awesome/css/line-awesome.min.css	(from http://agiletemplate.herokuapp.com/login)
09:43:49	92264/92264	---M--	200	added ('OK')	text/css	etag:%2216868-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/css/i-con.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/css/i-con.css	(from http://agiletemplate.herokuapp.com/login)
09:43:49	103678/103678	---M--	200	added ('OK')	text/css	etag:%22194fe-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/css/theme.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/css/theme.css	(from http://agiletemplate.herokuapp.com/login)
09:43:51	3088/3088	---M--	200	added ('OK')	text/css	etag:%22c10-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/css/style.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/css/style.css	(from http://agiletemplate.herokuapp.com/login)
09:43:51	123/123	---M--	200	added ('OK')	text/css	etag:%227b-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/css/font-style.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/css/font-style.css	(from http://agiletemplate.herokuapp.com/login)
09:43:52	11592/11592	---M--	200	added ('OK')	text/css	etag:%222d48-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/css/bootstrap-select.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/css/bootstrap-select.css	(from http://agiletemplate.herokuapp.com/login)
09:43:52	12125/12125	---M--	200	added ('OK')	text/css	etag:%222f5d-5bdc54ce77f00%22	http://agiletemplate.herokuapp.com/assets/flaticon2/flaticon.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/assets/flaticon2/flaticon.css	(from http://agiletemplate.herokuapp.com/login)
09:43:53	9717/9717	---M--	200	added ('OK')	text/css	etag:%2225f5-5bdc54cf6c140%22	http://agiletemplate.herokuapp.com/libs/dropzone/dist/min/dropzone.min.css	C:/My%20Web%20Sites/SBO/agiletemplate.herokuapp.com/libs/dropzone/dist/min/dropzone.min.css	(from http://agiletemplate.herokuapp.com/login)
